estado	ano	pib	pib_d	abertura	desp_cor	pop
10	2012	283249639.8	272080038.7	23340325296	22394494451	6519681
10	2013	299119816.2	283249639.8	23382853546	2.16082E+11	6608855
10	2014	317854451.2	299119816.2	24983052324	23653319892	6698752
10	2015	294928962.3	317854451.2	20231931855	2.16551E+11	6790833
10	2016	286031163.5	294928962.3	17891941910	23610761122	6882511
10	2017	300042505.9	286031163.5	21030466789	24084209743	6973130
10	2018	311069200.7	300042505.9	24702945541	24886333260	7063804
10	2019	323263857	311069200.7	25854886104	24930219291	7153029
11	2010	2155301443	1987155620	1.19991E+11	1.89047E+11	41262199
11	2011	2245612308	2155301443	1.41957E+11	1.96505E+11	42188177.5
11	2012	2302439911	2245612308	1.36614E+11	2.09758E+11	43114156
11	2013	2391760000	2302439911	1.45212E+11	8537893030	43522921
11	2014	2435075978	2391760000	1.35684E+11	2.22986E+11	43931869
11	2015	2296989235	2435075978	1.08904E+11	7798967715	44350313
11	2016	2271227037	2296989235	97815823284	2.10089E+11	44754215
11	2017	2294940280	2271227037	1.08755E+11	2.16291E+11	45143417
11	2018	2305752098	2294940280	1.17564E+11	2.18822E+11	45532653
11	2019	2348338000	2305752098	1.12661E+11	2.23251E+11	45912673
12	2010	43956654.32	38271587.45	248332567	8804337562	2068017
12	2011	45498110.63	43956654.32	431175201	8350421295	2110001
12	2012	48518827.75	45498110.63	411309614	8626348259	2151985
12	2013	49273148.88	48518827.75	371924212	5421039242	2173287
12	2014	49105808.17	49273148.88	307863690	8644917921	2194668
12	2015	45653820.96	49105808.17	310058143	5219741309	2216309
12	2016	43310444.44	45653820.96	259244606	7672305192	2236783
12	2017	44055129.79	43310444.44	228877863	8313297969	2256916
12	2018	43827338.97	44055129.79	266335164	8231489280	2277956
12	2019	44689483	43827338.97	756715900	8542231174	2298549
13	2010	13887655.55	13060574.72	23691599	4533825412	733559
13	2011	13988543.81	13887655.55	23754149	4722459269	755510
13	2012	14972073.38	13988543.81	14005943	5115038084	777461
13	2013	15999459.05	14972073.38	13506157	3754652916	790155
13	2014	17636972.22	15999459.05	16922110	5733465124	803127
13	2015	16130418.47	17636972.22	22458480	3565539774	816230
13	2016	15322569.54	16130418.47	14375893	5237109551	828436
13	2017	15445180.95	15322569.54	23669713	5752602939	840491
13	2018	15991304.4	15445180.95	42564739	6077178373	853023
13	2019	15630017	15991304.4	34812858	5720339556	865422
14	2010	13713591.16	13206619.38	399691310	3665434152	669526
14	2011	14707231.56	13713591.16	670423114	3471683038	695443.5
14	2012	16438489.39	14707231.56	567987074	3756941277	721361
14	2013	17797639.66	16438489.39	506029743	15557963900	737941
14	2014	17560423.5	17797639.66	526633821	4198738257	755067
14	2015	16412809.68	17560423.5	297517853	15016613555	772106
14	2016	15977499.37	16412809.68	313624524	3388909159	788892
14	2017	16753440.69	15977499.37	375819809	3344011000	805344
14	2018	17518434.08	16753440.69	450900171	3185238854	821545
14	2019	17496661	17518434.08	383641014	3783139793	837575
15	2010	101343135.6	89140999.53	12234677794	12590713145	3483985
15	2011	110562440.9	101343135.6	13595832300	13039080546	3512314
15	2012	106690769.6	110562440.9	14378419811	16635716892	3540643
15	2013	115808167	106690769.6	15322580136	20709745718	3605007
15	2014	113575062.5	115808167	14060040974	16318162809	3670689
15	2015	102503217.3	113575062.5	9768692284	21181600955	3736140
15	2016	99192558.2	102503217.3	6841362610	14509353604	3798072
15	2017	100898029.5	99192558.2	9383888718	14308348790	3859229
15	2018	104420090.4	100898029.5	10671858647	15777504333	3921508
15	2019	108181091	104420090.4	10895211913	16615199190	3983005
16	2010	132072425.8	118478844.6	3452720152	19908558063	8452381
16	2011	140200376.9	132072425.8	3803360617	20431297764	8593593.5
16	2012	143214528.2	140200376.9	4142633855	19723042034	8734806
16	2013	152042579.4	143214528.2	4726605462	14677625667	8789334
16	2014	165188283.5	152042579.4	4483076250	22236038309	8843725
16	2015	154675530.7	165188283.5	3717616705	14700339328	8901925
16	2016	154206172.4	154675530.7	4784891627	21881326086	8959457
16	2017	160070363.9	154206172.4	4347784531	22134585350	9015354
16	2018	162617280.1	160070363.9	4876125820	23419202577	9072980
16	2019	163575327	162617280.1	4632735016	23699837355	9129378
17	2010	142017417.3	122032159.6	18878453220	15428037966	3514952
